%time,field.header.seq,field.header.stamp,field.header.frame_id,field.ns,field.id,field.type,field.action,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.scale.x,field.scale.y,field.scale.z,field.color.r,field.color.g,field.color.b,field.color.a,field.lifetime,field.frame_locked,field.text,field.mesh_resource,field.mesh_use_embedded_materials
1450008998743697419,2012,1450008998616720983,/camera1,basic_shapes,8,1,0,0.0455588201626,0.0835788717846,0.616633458547,0.0229933594974,0.999607731705,0.00300034903479,0.0157062421055,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008998843974150,2013,1450008998773073725,/camera1,basic_shapes,8,1,0,0.0454238217324,0.0833668090306,0.616849259157,0.0228458385122,0.986564039173,-0.146338110421,-0.0689537650351,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008998944109842,2014,1450008998849396285,/camera1,basic_shapes,8,1,0,0.0455567379703,0.0835978416353,0.616684383572,0.0232817246034,0.999618250793,0.00432331285055,0.0142345687316,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008999041557249,2015,1450008998904694377,/camera1,basic_shapes,8,1,0,0.0455275908048,0.083503017871,0.616162002527,0.0231758677002,0.999552057197,0.0041235180684,0.0184813611304,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008999151655118,2016,1450008999041083222,/camera1,basic_shapes,8,1,0,0.045574088411,0.0836231999544,0.616953901746,0.0229279582973,0.999655692081,0.00130703402527,0.0126924260948,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008999243528038,2017,1450008999115281371,/camera1,basic_shapes,8,1,0,0.0455114965527,0.0834849211193,0.616014052009,0.0236821706099,0.999545233667,0.00555657700181,0.0178214786249,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008999345163952,2018,1450008999226227346,/camera1,basic_shapes,8,1,0,0.0453882894834,0.0832624657033,0.616161070499,0.0244732686681,0.986460194436,-0.144375405687,-0.0738450143729,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008999443009822,2019,1450008999323512031,/camera1,basic_shapes,8,1,0,0.045403099793,0.0830125641029,0.616713078684,0.0241590777936,0.986645231635,-0.137311000782,-0.084221226042,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008999544037554,2020,1450008999384869587,/camera1,basic_shapes,8,1,0,0.0454501349585,0.0830220768881,0.617096004512,0.0228263115507,0.987208814432,-0.136049783122,-0.0799260453305,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008999643812508,2021,1450008999540647661,/camera1,basic_shapes,8,1,0,0.045474912166,0.0823088178017,0.618333432889,0.0208862391316,0.989599756942,-0.125845705416,-0.0664751420025,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
